raw_name,market_guess,theme_guess,note
ABB,US,Global Industrial,user_supplied_watchlist
크레디트스위스,KR_CANDIDATE,Watchlist,user_supplied_watchlist
Novartis,US,Pharma,user_supplied_watchlist
Roche,GLOBAL_CANDIDATE,Watchlist,user_supplied_watchlist
UBS,US,Bank,user_supplied_watchlist
BYD,GLOBAL_CANDIDATE,Watchlist,user_supplied_watchlist
CNNC,GLOBAL_CANDIDATE,Watchlist,user_supplied_watchlist
Baidu,US,China AI,user_supplied_watchlist
DJI,GLOBAL_CANDIDATE,Watchlist,user_supplied_watchlist
EHang,US,Drone/eVTOL,user_supplied_watchlist
NIO,US,EV,user_supplied_watchlist
BMW,GLOBAL_CANDIDATE,Watchlist,user_supplied_watchlist
BioNTech,US,Biotech,user_supplied_watchlist
시멘스에너지,KR_CANDIDATE,Watchlist,user_supplied_watchlist
Mercedes-Benz,GLOBAL_CANDIDATE,Watchlist,user_supplied_watchlist
SAP,US,Enterprise Software,user_supplied_watchlist
Volkswagen,GLOBAL_CANDIDATE,Watchlist,user_supplied_watchlist
NKT,GLOBAL_CANDIDATE,Watchlist,user_supplied_watchlist
Orsted,GLOBAL_CANDIDATE,Watchlist,user_supplied_watchlist
Vestas Wind Systems,GLOBAL_CANDIDATE,Watchlist,user_supplied_watchlist
이베르드롤라,KR_CANDIDATE,Watchlist,user_supplied_watchlist
EDF,GLOBAL_CANDIDATE,Watchlist,user_supplied_watchlist
탈레스,KR_CANDIDATE,Watchlist,user_supplied_watchlist
넥산스,KR_CANDIDATE,Watchlist,user_supplied_watchlist
파롯,KR_CANDIDATE,Watchlist,user_supplied_watchlist
Geely,GLOBAL_CANDIDATE,Watchlist,user_supplied_watchlist
차이나전력,KR_CANDIDATE,Watchlist,user_supplied_watchlist
Quantum Machines,GLOBAL_CANDIDATE,Quantum Computing,user_supplied_watchlist
엔엘,KR_CANDIDATE,Watchlist,user_supplied_watchlist
프리즈미안,KR_CANDIDATE,Watchlist,user_supplied_watchlist
후루카와전기,KR_CANDIDATE,Watchlist,user_supplied_watchlist
스미토모전기,KR_CANDIDATE,Watchlist,user_supplied_watchlist
Yaskawa Electric,GLOBAL_CANDIDATE,Watchlist,user_supplied_watchlist
FANUC,GLOBAL_CANDIDATE,Watchlist,user_supplied_watchlist
미쓰비시중공업,KR_CANDIDATE,Watchlist,user_supplied_watchlist
도쿄전력,KR_CANDIDATE,Watchlist,user_supplied_watchlist
토시바,KR_CANDIDATE,Watchlist,user_supplied_watchlist
유한양행,KR,Pharma,user_supplied_watchlist
기아,KR,EV/Auto,user_supplied_watchlist
가온전선,KR,Power Grid,user_supplied_watchlist
SK하이닉스,KR,AI Semiconductor,user_supplied_watchlist
현대건설,KR,Infrastructure,user_supplied_watchlist
한화,KR,Defense,user_supplied_watchlist
DB하이텍,KR,Foundry,user_supplied_watchlist
상상인증권,KR,Securities,user_supplied_watchlist
대한전선,KR,Power Grid,user_supplied_watchlist
동양,KR,Infrastructure,user_supplied_watchlist
한진,KR,Logistics,user_supplied_watchlist
오리엔트바이오,KR,Biotech,user_supplied_watchlist
진흥기업,KR,Infrastructure,user_supplied_watchlist
유안타증권,KR,Securities,user_supplied_watchlist
한화투자증권,KR,Securities,user_supplied_watchlist
대신증권,KR,Securities,user_supplied_watchlist
SNT다이내믹스,KR,Defense,user_supplied_watchlist
포스코퓨처엠,KR,Battery,user_supplied_watchlist
서울식품,KR,Consumer,user_supplied_watchlist
현대자동차,KR,EV/Auto,user_supplied_watchlist
삼영전기,KR,Components,user_supplied_watchlist
삼성전자,KR,AI Semiconductor,user_supplied_watchlist
NH투자증권,KR,Securities,user_supplied_watchlist
녹십자,KR,Pharma,user_supplied_watchlist
대원전선,KR,Power Grid,user_supplied_watchlist
삼성SDI,KR,Battery,user_supplied_watchlist
서부T&D,KR,Real Estate,user_supplied_watchlist
미래에셋증권,KR,Securities,user_supplied_watchlist
에이프로젠,KR,Biotech,user_supplied_watchlist
사조동아원,KR,Consumer,user_supplied_watchlist
아진전자부품,KR_CANDIDATE,Watchlist,user_supplied_watchlist
포스코엠텍,KR,Secondary Battery,user_supplied_watchlist
